category,word,count
Chemicals & Allied Industries,organic,272079
Chemicals & Allied Industries,products,217545
Chemicals & Allied Industries,chemicals,175303
Chemicals & Allied Industries,chemical,154221
Chemicals & Allied Industries,inorganic,146121
Chemicals & Allied Industries,miscellaneous,136060
Chemicals & Allied Industries,cosmet,103999
Chemicals & Allied Industries,essential,103999
Chemicals & Allied Industries,oils,103999
Chemicals & Allied Industries,perfumery,103999
Chemicals & Allied Industries,resinoid,103999
Chemicals & Allied Industries,dyeing,96941
Chemicals & Allied Industries,extracts,96941
Chemicals & Allied Industries,tannin,96941
Chemicals & Allied Industries,tanning,96941
Chemicals & Allied Industries,active,86213
Chemicals & Allied Industries,agents,86213
Chemicals & Allied Industries,soap,86213
Chemicals & Allied Industries,surface,86213
Chemicals & Allied Industries,washing,86213
Chemicals & Allied Industries,pharmaceutical,85525
Chemicals & Allied Industries,comp,72615
Chemicals & Allied Industries,albuminoidal,64467
Chemicals & Allied Industries,modified,64467
Chemicals & Allied Industries,starches,64467
Chemicals & Allied Industries,substances,64467
Chemicals & Allied Industries,medicaments,56448
Chemicals & Allied Industries,mixed,55385
Chemicals & Allied Industries,composite,29385
Chemicals & Allied Industries,diag,29385
Chemicals & Allied Industries,acyclic,23076
Chemicals & Allied Industries,prepared,21890
Chemicals & Allied Industries,compounds,19115
Chemicals & Allied Industries,binde,18234
Chemicals & Allied Industries,goods,17116
Chemicals & Allied Industries,insecticides,16725
Chemicals & Allied Industries,pickling,16277
Chemicals & Allied Industries,prepa,16277
Chemicals & Allied Industries,acids,10971
Chemicals & Allied Industries,cinematographic,10765
Chemicals & Allied Industries,photographic,10765
Chemicals & Allied Industries,eleme,10329
Chemicals & Allied Industries,cyclic,9645
Chemicals & Allied Industries,animal,9580
Chemicals & Allied Industries,alcohols,9558
Chemicals & Allied Industries,aminocompou,9468
Chemicals & Allied Industries,oxygenfunction,9468
Chemicals & Allied Industries,provitamins,9467
Chemicals & Allied Industries,vitamins,9467
Chemicals & Allied Industries,blood,9214
Chemicals & Allied Industries,human,9214
Chemicals & Allied Industries,compos,9003
Chemicals & Allied Industries,heterocyclic,8972
Chemicals & Allied Industries,fertilisers,8198
Chemicals & Allied Industries,fertilizers,8198
Chemicals & Allied Industries,mineral,7832
Chemicals & Allied Industries,monocarbox,7699
Chemicals & Allied Industries,saturated,7699
Chemicals & Allied Industries,photogr,7387
Chemicals & Allied Industries,gauze,7016
Chemicals & Allied Industries,wadding,7016
Chemicals & Allied Industries,carboxylic,6805
Chemicals & Allied Industries,oxygen,6805
Chemicals & Allied Industries,antiknock,4697
Chemicals & Allied Industries,unsaturated,4621
Chemicals & Allied Industries,polycarboxylic,4166
Chemicals & Allied Industries,acceler,4112
Chemicals & Allied Industries,rubber,4112
Chemicals & Allied Industries,agen,4030
Chemicals & Allied Industries,finishing,4030
Chemicals & Allied Industries,hydrocarbons,4029
Chemicals & Allied Industries,antibiotics,3741
Chemicals & Allied Industries,cultu,3656
Chemicals & Allied Industries,derivatives,3526
Chemicals & Allied Industries,organosulphur,3492
Chemicals & Allied Industries,activated,3188
Chemicals & Allied Industries,carb,3188
Chemicals & Allied Industries,chemica,3142
Chemicals & Allied Industries,ethers,3142
Chemicals & Allied Industries,ketone,3142
Chemicals & Allied Industries,peroxides,3142
Chemicals & Allied Industries,refractory,3131
Chemicals & Allied Industries,halogenated,2923
Chemicals & Allied Industries,industrial,2867
Chemicals & Allied Industries,aminefunction,2795
