COUNTRYEXPORT,CUSTOMSVALUE,EXCHANGE_RATE,VAT_PAID,CUSTOMSVALUEPHP,transactions
AFGHANISTAN,7072.98,153.151,47031.0,370021.82833999995,3
ALBANIA,54927.619999999995,549.5239999999999,126376.0,2752400.86276,11
ALGERIA,53813087.9,763.5349999999999,138402172.0,2695171065.4621105,15
AMERICAN SAMOA,6699764.77,844.4879999999999,798991.0,336019019.92984,17
ANGOLA,21565674.32,2616.4070000000006,153980429.0,1096257765.3105803,51
ANGUILLA,39268.75,1007.1530000000001,198407.0,1984624.64062,20
ANTARCTICA,269330.6,105.895,1799376.0,14262211.0738,2
ANTIGUA AND BARBUDA,2406271.2,102.172,16589816.0,120772185.8304,2
ARGENTINA,790538530.9599993,177865.7890000039,322401422.0,40166936470.08488,3505
ARMENIA,74113.2,398.0230000000001,337233.0,3734896.1794000003,8
ARUBA,2140870.5300000003,153.295,15270770.0,108003471.14994,3
AUSTRALIA,4280528186.0000253,4009901.788999795,15208238675.0,216822583270.66992,79241
AUSTRIA,415968846.679999,896487.757000012,1882695902.0,21129220335.279377,17544
AZERBAIJAN,25181.26,195.362,0.0,1248622.83688,4
Andorra,80964.87,792.9869999999999,441770.0,4136359.16552,16
BAHAMAS,2850000.0,49.984,18538210.0,142454400.0,1
BAHRAIN,79891676.78,18259.631000000023,520312671.0,4118222195.045072,355
BANGLADESH,113257995.44000049,617957.9840000016,793541498.0,5748149686.788302,12132
BARBADOS,27190.0,355.449,182044.0,1363238.6500000001,7
BELARUS,3473383.9500000007,6673.507999999996,18208341.0,177631841.52567,132
BELGIUM,1599789087.8000019,2732941.2559999856,8469815656.0,80274649311.22934,53660
BELIZE,1129836.2999999998,7914.0869999999895,4510020.0,56701938.29364003,164
BERMUDA,1752.0,158.952,7350.0,91853.41799999999,3
BOLIVIA,5367193.899999999,704.366,1548660.0,267759449.4109,14
BOSNIA-HERCEGOVINA,3756581.689999999,3914.6439999999993,17577790.0,189598630.58679003,77
BOTSWANA,22817.32,212.278,159463.0,1194582.89876,4
BRAZIL,1826206232.7399943,608660.1189999854,8081695102.0,91977563737.54863,11930
BRITISH VIRGIN ISLANDS,5459665.52,17438.72700000002,33893555.0,279814907.53684,341
BRUNEI DARUSSALAM,161151400.35000008,17683.785000000047,1048176787.0,8098412482.685224,349
BULGARIA,163926558.61000055,175917.32100000093,449256493.0,8294578558.594284,3464
BURKINA FASO,3620.69,250.001,11272.0,181595.58493,5
BURMA (See MM MYANMAR),493.20000000000005,99.96799999999999,0.0,24652.108799999998,2
Br.ind.oc.tr,2275.1,51.55,15480.0,117281.40499999998,1
CAMBODIA,141089626.85000008,296900.00099999446,444171213.0,4537102539.5954685,5999
CAMEROON,153770.10000000003,964.4730000000003,1280670.0,7903755.101020001,19
CANADA,1942924301.9400022,1808250.1950004168,5875560096.0,99395865339.2479,35522
CAPE VERDE,31154.64,49.651,0.0,1546859.03064,1
CAYMAN ISLANDS,62660516.54,734.7210000000001,11438.0,2915254360.40214,15
CENTRAL AFRICAN REPUBLIC,327181.23,405.919,799364.0,16335521.104280002,8
CHAD,103515.65,1543.3419999999996,723537.0,5202426.811099999,31
CHILE,268876043.04000014,130623.90100000052,1256033772.0,13656779561.118956,2562
CHINA,77537490232.6903,128446424.87960437,319184515887.0,2848528286524.2007,2528531
CHRISTMAS ISLANDS,1464282.3599999999,2556.1220000000003,3426944.0,76457284.10044003,50
COCOS (KEELING) ISLANDS,30000.0,50.83,195512.0,1524900.0,1
COLOMBIA,36364503.45999998,37923.35300000001,233439253.0,1837319786.7882495,751
CONGO,548935.27,1201.581,3962170.0,29207183.994850006,23
COOK ISLANDS,24023.0,145.735,172523.0,1149217.5310000002,3
COSTA RICA,30797200.299999967,75508.9299999995,185627153.0,1576272134.6736505,1482
COTE D'IVOIRE,207920.37000000002,2105.1939999999995,836170.0,10652111.518700002,41
CROATIA,21862551.430000007,9961.052999999984,148938788.0,1132360287.9293096,197
CUBA,17401632.969999995,9576.464000000002,73087332.0,887223582.04682,188
CYPRUS,8990369.79,24249.57300000001,34013709.0,452891237.94951993,479
CZECH REPUBLIC,307522027.52000046,476406.3969999772,1215184072.0,15666172770.05983,9361
DENMARK,500863086.3499996,1272085.4160000877,2491798538.0,23703979941.398983,24949
DJIBOUTI,355783.68,544.8870000000001,2797828.0,17719977.18759,11
DOMINICA,15246.13,50.357,0.0,767749.36841,1
DOMINICAN REPUBLIC,38102512.769999996,4820.3409999999985,205524369.0,1962720219.7695503,94
EAST TIMOR,10828.68,646.8770000000001,60558.0,542952.91242,13
ECUADOR,38589035.33000001,12701.819000000014,137384841.0,1952732602.033069,251
EGYPT,103679699.70999998,46223.868999999795,537948773.0,5185897879.194508,911
EL SALVADOR,524454.28,25962.548,2524620.0,26785187.640329998,509
EQUATORIAL GUINEA,44380628.96,1776.6960000000001,295204415.0,2250614539.09053,35
ERITREA,1.2,50.365,410.0,60.438,1
ESTONIA,4565860.980000001,16038.143000000038,24446649.0,234163990.71247002,315
ETHIOPIA,541008.07,1834.7680000000003,2193118.0,27614319.20983,36
FAEROE ISLANDS,119042.67,102.41,0.0,6096513.532199999,2
FED. STATES OF MICRONESIA,22103583.630000006,1557.5309999999997,2711710.0,1143929000.4904099,30
FIJI,8675214.120000001,2221.9060000000004,2022732.0,428339962.97237,44
FINLAND,564783235.6599993,501133.91799997614,3020543211.0,28479126429.136772,9850
FRANCE,3353640048.339991,4264818.827999473,8386992273.0,152822115967.96875,83680
FRENCH GUIANA,15474.98,103.999,102597.0,803106.41251,2
FRENCH POLYNESIA,6406374.53,1028.049,37021589.0,304095364.18303,20
Former Czechoslovakia,914.87,47.855,7248.0,43781.10385,1
Former USSR (for reference),928.52,92.624,6042.0,43001.618239999996,2
GABON,1720914.4000000001,2372.4320000000002,13411249.0,87262219.98376998,47
GAMBIA,8218.0,665.148,72385.0,430011.719,13
"GEORGIA, ASIA",3697206.9800000023,11784.156999999987,19489408.0,188482627.68730015,232
GERMANY,6762844748.12999,15625012.208003787,27950704582.0,296429435105.02374,306554
GHANA,2511935.95,5017.293999999998,3924690.0,127465640.18632,99
GIBRALTAR,1400000.0,102.767,9619684.0,71970200.0,2
GREECE,30066350.999999963,51702.05299999967,158644050.0,1384302692.1589398,1002
GUADELOUPE,3108.82,101.059,21570.0,156303.66084000003,2
GUAM,5888181.59,29946.05400000003,26707655.0,297174158.71392983,598
GUATEMALA,7285639.849999999,7475.458999999998,30934448.0,373105247.65772986,146
GUINEA,32853.96,151.88400000000001,221624.0,1723267.12032,3
GUINEA-BISSAU,10.0,50.158,0.0,501.58000000000004,1
GUYANA,1929766.28,500.827,16272871.0,97311431.34132,10
HAITI,466930.07000000007,3239.5940000000014,1075590.0,23448743.29078001,64
HONDURAS,3212539.2300000004,15717.955000000022,21580400.0,167247961.29286006,309
HONG KONG,10310543930.810097,25318132.260979697,72221791889.0,497603921278.8518,497924
HUNGARY,45840250.50999997,261916.05599999972,219058715.0,2262038731.628376,5146
ICELAND,1136085.81,2341.398999999999,6214213.0,60027934.28695001,45
INDIA,6585193148.950011,5989508.939999799,25704087630.0,243636695692.16418,118252
INDONESIA,36953892010.72039,7586651.495999537,108323835200.0,916832782154.66,149635
"IRAN, ISLAMIC REPUBLIC OF",80494789.83999997,9613.06899999999,121956924.0,4062297962.9867206,190
IRAQ,16622287.0,816.4130000000001,126520550.0,877234769.036,16
IRELAND,952577287.7300036,927343.419999987,1876954570.0,42960641335.72226,18216
ISRAEL,1634183678.3200002,702229.4259999965,2014951514.0,23305156876.043312,13880
ITALY,1769378887.8899903,4859722.333999351,8766613258.0,88343284650.02505,95130
JAMAICA,2433510.6300000018,7474.880000000004,13337545.0,121732781.13938005,148
JAPAN,68053439572.78604,88054388.56081942,147817701443.0,1632850223417.4834,1750781
"JORDAN, ASIA",12913188.790000001,10650.939000000006,13057553.0,655888242.9296002,208
KAZAKHSTAN,18159566.500000004,1112.829,119726420.0,952010677.8001301,22
KENYA,16926193.660000004,11832.82400000001,84578787.0,850372143.67583,233
KIRIBATI,26412749.080000002,2940.2999999999997,1498592.0,1342757141.58216,58
"KOREA, DEM. PEOPLE'S REP.",185669626.52000013,102107.0399999996,873940055.0,8257612659.201891,2089
"KOREA, REPUBLIC OF",31380231711.41969,24445375.371973466,146840267626.0,1419757041952.0388,482317
KUWAIT,4721064318.510012,24088.575000000008,29235197305.0,237492389165.3049,473
KYRGYZSTAN,726700.0,105.598,5245962.0,37785330.2,2
